🌟公告🌟,#genre#
微信公众号：,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
《七星影仓》,http://50.7.234.10:8278/phoenixinfo_hd/playlist.m3u8?tid=MC1C1591244615912446&ct=19225&tsum=a4fd6441d252c98ea603b13ef749a84e
温馨提示您,https://www.mytvsuper.xyz/astro/qianxi/stream.m3u8
软件永久免费,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
仅限个人测试,https://www.mytvsuper.xyz/tvb/xinghe/stream.m3u8
切勿付费购买,https://www.mytvsuper.xyz/1/now/stream.m3u8
请于测试后,http://maomao.kandiantv.cn/douyu1.php?id=4246519
24小时内删除,http://www.lizhinas.top:8688/rtp/239.252.220.179:5140
更多免费资源,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
请公众号获取,http://183.66.15.138:4070/udp/235.254.198.97:1664




🌟电影轮播,#genre#

player=2
歪歪影院,http://61.163.58.154:10604/yy/1382736877
第一滴血全集,http://home.wwang.pw:35455/yy/1354932355
敢死队全轮播,http://home.wwang.pw:35455/yy/1382735573
速度与激情集,http://home.wwang.pw:35455/yy/1382736911
漫威系列轮播,http://home.wwang.pw:35455/yy/1354932402
变形金刚轮播,http://home.wwang.pw:35455/yy/1382736803
哈利波特全集,http://home.wwang.pw:35455/yy/1382745105
夺宝奇兵全集,http://home.wwang.pw:35455/yy/1382736833
机械战警全集,http://home.wwang.pw:35455/yy/1382736854
古惑仔国轮播,http://home.wwang.pw:35455/yy/1458015189
黑衣一二轮播,http://home.wwang.pw:35455/yy/1354930936
叠影重重全集,http://home.wwang.pw:35455/yy/1382735570
邵氏影院频视,http://home.wwang.pw:35455/douyu/4246519
4K斗鱼台,http://211.101.234.24:68/公众号猫月牙/douyu.php?id=12191214
林正英台,http://211.101.234.24:68/公众号猫月牙/douyu.php?id=8009547
鬼怪 剧场,http://211.101.234.24:68/公众号猫月牙/douyu.php?id=1165374
奶虫恐怖,http://211.101.234.24:68/公众号猫月牙/douyu.php?id=263824
鬼片恐怖,http://211.101.234.24:68/公众号猫月牙/douyu.php?id=96577
恐怖电影,http://211.101.234.24:68/公众号猫月牙/douyu.php?id=310926
欧美 科幻,http://211.101.234.24:68/公众号猫月牙/douyu.php?id=252802
林正英 1,http://211.101.234.24:68/公众号猫月牙/douyu.php?id=7356023
林正英 1,http://php.666230.xyz/公众号【睡眼迷离的猫】/proxy/斗鱼.php?id=7356023
林正英 1,http://zzy789.xyz/douyu1.php?id=7356023
林正英 2,http://zzy789.xyz/douyu1.php?id=218859
斗鱼频道,http://zzy789.xyz/douyu1.php?id=8770422
斗鱼频道,http://zzy789.xyz/douyu1.php?id=218859
斗鱼频道,http://zzy789.xyz/douyu1.php?id=413573
斗鱼频道,http://zzy789.xyz/douyu1.php?id=9292492
鬼片恐怖,http://zzy789.xyz/douyu1.php?id=2935323
恐怖故事,http://zzy789.xyz/douyu1.php?id=2337939
怡寳影院,http://zzy789.xyz/douyu1.php?id=434971
粤语电影,http://zzy789.xyz/douyu1.php?id=6566671
苹果影院,http://zzy789.xyz/douyu1.php?id=2793084
午夜故事,http://zzy789.xyz/douyu1.php?id=8722254
译制国语,http://zzy789.xyz/douyu1.php?id=2436390
蚂蚱影院,http://zzy789.xyz/douyu1.php?id=6079455
纪录片,http://zzy789.xyz/douyu1.php?id=4360438
恐怖丧尸鬼片,http://zzy789.xyz/douyu1.php?id=263824
周星驰,http://rihou.cc:555/huyad.php?id=11342412
李连杰,http://rihou.cc:555/huyad.php?id=11342390
甄子丹,http://rihou.cc:555/huyad.php?id=11352935
刘德华,http://rihou.cc:555/huyad.php?id=11342424
邱淑贞,http://rihou.cc:555/huyad.php?id=11352949
女神系列,http://rihou.cc:555/huyad.php?id=11336571
赌片,http://rihou.cc:555/huyad.php?id=11342399
bang派,http://rihou.cc:555/huyad.php?id=11336719
科幻动作,http://rihou.cc:555/huyad.php?id=11352964
国产喜剧,http://rihou.cc:555/huyad.php?id=11602044
五福星,http://rihou.cc:555/huyad.php?id=11282233
古墓系列,http://rihou.cc:555/huyad.php?id=11352913
灾难电影,http://rihou.cc:555/huyad.php?id=11352871
港片,http://rihou.cc:555/huyad.php?id=11602043
灾难片,http://rihou.cc:555/huyad.php?id=11602075
奇幻片,http://rihou.cc:555/huyad.php?id=16149609
悬疑片,http://rihou.cc:555/huyad.php?id=16099968
香港贺岁,http://rihou.cc:555/huyad.php?id=11601971
贺岁合家欢剧场,http://rihou.cc:555/huyad.php?id=11602067
恐怖片,http://rihou.cc:555/huyad.php?id=16741179
历年贺岁档,http://rihou.cc:555/huyad.php?id=11601986
李世民,http://rihou.cc:555/huyad.php?id=11336572
港产搞笑,http://rihou.cc:555/huyad.php?id=11342423
滇军抗战,http://rihou.cc:555/huyad.php?id=11342388
经典女神,http://rihou.cc:555/huyad.php?id=11352909
许冠英合集,http://rihou.cc:555/huyad.php?id=11601972
经典港剧笑嘻嘻,http://rihou.cc:555/huyad.php?id=11352965
电影_强森,http://rihou.cc:555/huyad.php?id=21059581
电影_怪兽,http://rihou.cc:555/huyad.php?id=21059577
电影_救援,http://rihou.cc:555/huyad.php?id=21059594
电影_盗墓,http://rihou.cc:555/huyad.php?id=21059552
电影_谍战,http://rihou.cc:555/huyad.php?id=21059585
电影_梁家辉,http://rihou.cc:555/huyad.php?id=11342429
电影_斯坦森,http://rihou.cc:555/huyad.php?id=21059588
电影_小鬼头,http://rihou.cc:555/huyad.php?id=11352963
电影_八点档,http://rihou.cc:555/huyad.php?id=880261
电影_丧尸片,http://rihou.cc:555/huyad.php?id=21059578
电影_战争片,http://rihou.cc:555/huyad.php?id=21059574
电影_犯罪片,http://rihou.cc:555/huyad.php?id=11352974
电影_古装片,http://rihou.cc:555/huyad.php?id=11336590
电影_国产悬疑,http://rihou.cc:555/huyad.php?id=11342395
电影_喜乐影院,http://rihou.cc:555/huyad.php?id=21059580
电影_蘑菇影厅,http://rihou.cc:555/huyad.php?id=11601981
电影_死神来了,http://rihou.cc:555/huyad.php?id=11352903
电影_怪兽系列,http://rihou.cc:555/huyad.php?id=21059554
鹿鼎记小春版,http://rihou.cc:555/huyad.php?id=23865080
陀枪师姐,http://rihou.cc:555/huyad.php?id=23860039
倚天屠龙记,http://rihou.cc:555/huyad.php?id=23734246
